point_id,location_id
159,DGA_D
160,DGA_I
850,2
851,3
852,5
853,4D
854,6
864,7A
864,7
866,9A
869,14
873,23
874,22
875,21
875,21A
876,20
877,19
877,19A
878,18
880,15
880,16
882,24
893,25
904,26
905,27A
905,27
906,28
907,29A
907,29
908,30
909,31
910,32
911,33
912,34
912,34A
913,35
922,44
922,45
923,43A
924,42A
924,42
927,36
927,37
931,48
931,49
931,48A
932,47
933,46
934,41
935,40
935,39
936,38
936,37A
939,50
940,52
940,51
941,53
942,54
943,55
943,56
944,57
946,58
947,59
948,60
949,53A
954,65A
955,64B
956,63B
957,62B
960,61
964,67A
965,68
966,69
967,70
968,71
968,72
968,73
975,74A
975,74
976,75
978,77
980,79
981,80
982,81
989,83
989,84
998,93
1077,131
1186,184
1191,177
