Дата,"AD (A-прилет, D-вылет)",Терминал,Код а/к,Номер рейса,Плановое время,Код а/п,Аэропорт,Тип ВС,Номер места стоянки,Номер гейта,Количество пассажиров
24.08.2019,A,D,AF,1144,0:05,SVO,Париж,321,40,DGA_D,122
24.08.2019,A,D,SU,2469,0:10,SVO,Будапешт,320,21,DGA_D,107
24.08.2019,A,D,SU,2097,0:10,SVO,Белград,73H,31,DGA_D,143
24.08.2019,A,D,SU,2047,0:25,SVO,Сплит,32B,23,DGA_D,183
24.08.2019,D,D,SU,1948,0:10,AKX,Актобе,320,54,DGA_I,92
24.08.2019,D,D,N4,477,0:45,EVN,Ереван,73H,51,DGA_I,170
24.08.2019,D,D,SU,1942,0:55,ALA,Алматы,32A,37,DGA_I,144
24.08.2019,A,D,BT,426,1:00,SVO,Рига,CS3,36,DGA_D,139
24.08.2019,A,D,KL,907,1:30,SVO,Амстердам,73H,37,DGA_D,148
24.08.2019,A,D,AF,1844,1:35,SVO,Париж,319,41,DGA_D,67
24.08.2019,A,D,AY,719,1:35,SVO,Хельсинки,E90,26,DGA_D,97
24.08.2019,D,D,SU,500,1:35,TLV,Тель-Авив,31U,27,DGA_I,175
24.08.2019,D,D,N4,1611,1:25,HER,Ираклион,772,46,DGA_I,432
24.08.2019,A,D,SU,2383,2:10,SVO,Женева,32B,25,DGA_D,109
24.08.2019,D,D,SU,1864,2:05,EVN,Ереван,73H,35,DGA_I,109
24.08.2019,D,D,N4,1835,2:10,DLM,Даламан,772,59,DGA_I,355
24.08.2019,A,D,SU,2393,2:50,SVO,Цюрих,32A,22,DGA_D,122
24.08.2019,A,D,OK,898,3:05,SVO,Прага,73H,51,DGA_D,188
24.08.2019,D,D,N4,643,2:30,LCA,Ларнака,321,47,DGA_I,210
24.08.2019,D,D,N4,1801,2:45,AYT,Анталья,77W,50,DGA_I,480
24.08.2019,A,D,AZ.,542,3:05,SVO,Катания,321,34,DGA_D,120
24.08.2019,A,D,JU,656,3:25,SVO,Белград,319,38,DGA_D,141
24.08.2019,A,D,KM,560,3:20,SVO,Мальта,320,39,DGA_D,155
24.08.2019,D,D,RL,7543,3:05,DLM,Даламан,75W,60,DGA_I,227
24.08.2019,D,D,ZF,9009,2:50,AYT,Анталья,77W,52,DGA_I,542
24.08.2019,A,D,AZ.,596,3:45,SVO,Рим,320,35,DGA_D,106
24.08.2019,A,D,SU,2193,4:25,SVO,Амстердам,32B,29,DGA_D,99
24.08.2019,A,D,SU,2113,4:20,SVO,Афины,31U,49,DGA_D,181
24.08.2019,A,D,SU,2475,4:15,SVO,Ницца,320,38,DGA_D,124
24.08.2019,D,D,RL,7701,3:30,AYT,Анталья,77W,48A,DGA_I,491
24.08.2019,D,D,RL,7743,3:50,BCN,Барселона,763,56,DGA_I,332
24.08.2019,A,D,SU,505,4:40,SVO,Тель-Авив,77W,23,DGA_D,290
24.08.2019,D,D,JU,657,4:10,BEG,Белград,319,38,DGA_I,110
24.08.2019,A,D,SU,253,5:15,SVO,Сеул,333,27A,DGA_D,287
24.08.2019,A,D,SU,2415,5:00,SVO,Милан,32B,24,DGA_D,158
24.08.2019,A,D,SU,2591,4:55,SVO,Дублин,320,21,DGA_D,119
24.08.2019,D,D,AZ.,543,4:05,CTA,Катания,321,34,DGA_I,144
24.08.2019,D,D,KM,561,4:20,MLA,Мальта,320,39,DGA_I,107
24.08.2019,A,D,JD,475,5:30,SVO,Ханчжоу,332,56,DGA_D,244
24.08.2019,A,D,SU,2377,4:45,SVO,Лион,320,30,DGA_D,29
24.08.2019,A,D,SU,2145,5:25,SVO,Анталья,321,46,DGA_D,155
24.08.2019,D,D,BT,427,4:50,RIX,Рига,CS3,36,DGA_I,137
24.08.2019,D,D,AZ.,595,5:00,FCO,Рим,320,35,DGA_I,154
24.08.2019,A,D,SU,235,5:25,SVO,Дели,333,31,DGA_D,302
24.08.2019,D,D,AY,720,5:00,HEL,Хельсинки,E90,26,DGA_I,98
24.08.2019,A,D,SU,2071,5:40,SVO,Ларнака,320,35,DGA_D,141
24.08.2019,A,D,SU,101,6:25,SVO,Нью-Йорк,77W,26,DGA_D,282
24.08.2019,D,D,RL,7713,5:05,ADB,Измир,75W,58,DGA_I,226
