road_id,source_point_id,target_point_id,distance
27,850,849,70
28,850,851,49
29,851,850,46
30,851,852,80
31,852,851,50
32,852,853,31
33,853,852,64
34,853,854,75
35,854,853,38
36,854,855,43
37,855,854,84
38,855,856,89
39,856,855,74
40,856,857,32
41,857,856,87
42,857,858,53
43,858,857,31
44,858,859,41
56,864,865,37
57,864,870,58
58,865,864,81
59,865,866,66
60,866,865,69
61,866,867,76
62,867,866,35
63,867,868,77
64,868,867,86
65,868,869,39
66,869,670,8
67,869,859,31
68,869,868,70
69,869,880,33
77,873,874,39
78,873,881,47
79,874,873,55
80,874,875,75
81,875,874,69
82,875,876,64
83,876,875,70
84,876,877,38
85,877,876,56
86,877,878,81
87,878,877,46
88,878,879,43
89,879,878,64
90,879,880,70
91,880,869,36
92,880,879,80
96,882,881,36
97,882,893,33
98,893,689,12
99,893,882,71
100,893,914,50
121,904,905,63
122,904,914,57
123,905,826,5
124,905,904,51
125,905,906,47
126,906,905,51
127,906,907,35
128,907,830,12
129,907,906,87
130,907,908,30
131,908,907,54
132,908,909,44
133,909,846,9
134,909,908,44
135,909,910,61
136,910,909,37
137,910,911,61
138,911,910,70
139,911,912,79
140,912,911,77
141,912,913,37
142,913,912,73
143,913,927,41
144,914,893,46
145,914,904,48
146,914,918,61
167,918,914,76
168,918,919,50
175,919,918,49
176,919,920,80
177,920,919,39
178,920,921,71
179,921,920,83
180,921,928,30
181,922,923,59
182,922,928,66
183,923,922,62
184,923,924,66
185,924,923,68
186,924,925,65
191,927,691,13
192,927,913,76
193,927,926,76
194,927,936,47
195,928,921,53
196,928,922,69
197,928,929,37
198,929,928,58
199,929,930,34
200,930,929,64
201,930,937,61
202,931,932,69
203,931,937,30
204,932,931,81
205,932,933,82
206,933,932,83
207,933,934,69
208,934,933,74
209,934,935,88
210,935,934,66
211,935,936,81
212,936,927,87
213,936,935,89
214,937,930,51
215,937,931,43
216,937,938,59
217,938,937,83
218,938,939,54
219,939,938,60
220,939,940,84
221,940,829,8
222,940,838,9
223,940,847,13
224,940,939,51
225,940,941,76
226,941,827,11
227,941,940,45
228,941,949,57
229,942,943,30
230,942,949,53
231,943,942,54
232,943,944,71
233,944,943,50
234,944,945,33
235,945,944,84
236,945,946,34
237,946,945,56
238,946,947,58
239,947,946,54
240,947,948,43
241,948,947,76
242,948,962,68
243,949,941,51
244,949,942,68
245,949,950,66
246,950,949,72
247,950,951,89
248,951,950,67
249,951,952,68
250,952,951,53
251,952,963,50
252,953,954,59
253,953,963,63
254,954,953,37
255,954,955,80
256,955,954,89
257,955,956,69
258,956,955,63
259,956,957,85
260,957,956,84
261,957,958,89
262,958,839,82
263,958,957,80
264,958,959,65
265,959,958,41
266,959,960,35
267,960,959,82
268,960,961,32
269,961,960,50
270,961,962,68
271,962,948,74
272,962,961,79
273,963,952,36
274,963,953,52
275,963,964,88
276,964,963,74
277,964,965,58
278,965,964,76
279,965,966,36
280,966,965,40
281,966,967,84
282,967,966,54
283,967,968,62
284,968,967,55
285,968,969,73
286,969,968,86
287,969,970,35
288,970,969,77
289,970,971,46
290,971,970,41
291,971,972,39
292,972,971,79
293,972,973,72
294,973,972,77
295,973,974,66
296,974,973,69
297,974,975,82
298,975,974,55
299,975,976,41
300,976,975,30
301,976,977,40
302,977,976,52
303,977,978,51
304,978,977,30
305,978,979,32
306,979,978,38
307,979,980,78
308,980,979,57
309,980,981,39
310,981,980,79
311,981,982,33
312,982,981,61
313,982,983,35
314,983,982,32
315,983,984,32
316,984,983,69
317,984,985,84
318,985,984,40
319,985,986,38
320,986,985,67
321,986,987,84
322,987,986,32
323,987,988,68
324,988,987,70
325,988,989,76
326,989,988,39
327,989,990,661
344,998,997,65
345,998,999,68
346,999,998,71
347,999,1000,77
348,1000,999,75
349,1000,1001,59
350,1001,836,48
351,1001,837,30
352,1001,840,47
353,1001,841,69
354,1001,842,42
355,1001,843,65
356,1001,844,50
357,1001,845,47
358,1001,1000,89
359,1001,1002,38
360,1002,1001,81
361,1002,1003,64
362,1003,1002,73
363,1003,1006,38
364,1004,1005,58
365,1004,1012,39
366,1005,1004,71
367,1005,1006,88
368,1006,1003,82
369,1006,1005,49
370,1006,1007,44
380,1012,1004,35
381,1012,1013,47
382,1013,1012,39
383,1013,1014,33
384,1014,1013,82
385,1014,1015,82
386,1015,1014,76
387,1015,1016,78
388,1016,1015,70
389,1016,1017,55
390,1017,1016,63
391,1017,1018,81
392,1018,1017,82
393,1018,1019,75
394,1019,1018,44
395,1019,1020,78
396,1020,1019,76
397,1020,1021,41
398,1021,1020,88
399,1021,1022,86
456,681,882,10
459,683,905,13
464,687,910,11
488,183,948,12
489,858,671,8
491,869,673,7
492,880,147,13
493,147,880,9
494,869,149,14
496,873,151,5
497,873,152,9
499,874,680,5
500,874,681,8
501,681,874,12
502,875,679,8
503,875,150,6
505,877,678,14
506,877,148,14
508,877,157,10
510,878,677,8
511,878,160,11
512,160,878,5
513,879,676,8
514,879,159,6
515,159,879,10
516,880,674,13
517,880,675,13
518,882,681,13
519,893,682,14
520,893,683,11
521,683,893,6
522,904,153,11
523,905,683,10
524,905,154,5
526,906,684,13
527,907,685,6
528,907,155,11
530,908,686,7
531,908,687,13
532,687,908,14
533,908,158,12
535,909,156,6
536,910,687,10
537,911,688,12
538,912,698,12
539,913,699,10
540,927,162,6
541,927,700,6
542,931,703,9
543,931,704,11
544,932,170,5
545,933,169,7
546,933,184,6
548,934,164,13
550,934,167,13
551,935,165,11
552,935,166,13
553,936,701,14
554,936,168,5
556,939,172,12
557,940,174,7
558,174,940,13
559,940,175,6
560,940,176,8
562,940,177,9
563,942,706,8
564,942,185,10
566,943,179,13
567,943,180,13
568,943,186,13
570,945,707,5
571,946,708,12
572,947,182,8
573,948,183,6
574,949,705,12
575,943,509,13
577,912,161,6
579,927,163,9
581,931,171,6
583,940,173,11
585,949,178,11
587,945,181,6
590,880,741,8
592,880,742,8
594,1019,805,14
596,857,743,13
598,1014,744,13
601,919,1045,9
603,928,1046,14
605,937,1047,82
607,952,1048,120
609,1001,1054,7
621,967,1049,14
625,998,1052,63
627,1004,1053,5
629,1018,1060,59
654,1021,1066,37
662,1075,1074,30
663,1075,1076,33
664,1076,1075,46
665,1076,1077,67
666,1077,1076,56
681,201,1075,14
686,206,1021,10
692,1077,187,7
693,1077,188,11
698,1077,193,13
699,1077,194,8
702,1076,197,7
703,1076,198,8
706,1075,201,14
711,1021,206,11
719,1097,16,97
720,1097,1096,49
721,1097,1098,96
722,1097,17,22
723,1098,1097,104
724,1098,1099,111
725,1098,17,40
726,1096,1097,95
727,1096,120,40
728,1099,1090,263
729,1099,16,67
730,1099,1098,64
731,120,1096,45
732,120,1101,103
735,1100,147,60
736,147,1100,70
737,1101,120,85
738,1101,148,224
799,1085,1084,93
800,1085,183,168
801,1085,174,20
826,174,1085,24
827,174,1087,121
828,183,1085,174
829,858,1100,11
830,1100,858,7
831,880,1101,13
832,1101,880,14
833,910,1102,6
836,949,4,6
837,1103,1111,45
840,1104,1112,57
841,1109,1112,37
843,1105,1103,62
845,1112,1104,38
846,1105,1104,96
847,1103,1105,46
848,1104,1105,112
850,1103,1107,116
852,1112,1109,26
853,28,1109,46
855,28,1110,58
857,1109,28,45
859,1109,29,65
882,1117,1116,37
884,1117,201,36
886,201,1117,21
888,1118,1117,86
889,1117,202,18
890,1118,203,22
891,1117,1118,64
894,1119,1118,28
895,1118,204,22
896,1119,205,35
897,1118,1119,44
899,206,1119,46
903,1119,206,59
904,1119,207,25
905,1119,208,53
906,1119,209,55
907,1112,32,943
908,32,1090,137
909,32,1099,87
914,32,1112,615
916,1099,32,99
923,1097,16,87
924,1097,1096,89
925,1097,1098,106
926,1097,17,29
927,1098,1097,44
928,1098,1099,76
929,1098,17,47
930,1096,1097,80
931,1096,120,40
932,1099,1090,317
